title,genres,year
Open Season,"Adventure,Animation,Family",2006
Divergent,"Adventure,Action,Science Fiction",2014
The Rundown,"Adventure,Action,Comedy,Thriller",2003
Last Action Hero,"Adventure,Fantasy,Action,Comedy,Family",1993
Memoirs of a Geisha,"Drama,History,Romance",2005
The Fast and the Furious: Tokyo Drift,"Action,Crime,Drama,Thriller",2006
Arthur Christmas,"Drama,Animation,Family,Comedy",2011
Meet Joe Black,"Fantasy,Drama,Mystery",1998
Collateral Damage,"Action,Thriller,Drama",2002
All That Jazz,"Drama,Music",1979
Mirror Mirror,"Adventure,Fantasy,Drama,Comedy,Science Fiction,Family",2012
Scott Pilgrim vs. the World,"Action,Adventure,Comedy",2010
The Core,"Action,Thriller,Adventure,Science Fiction",2003
Nutty Professor II: The Klumps,"Fantasy,Comedy,Romance,Science Fiction",2000
Scooby-Doo,"Mystery,Adventure,Comedy",2002
Dredd,"Action,Science Fiction",2012
Click,"Comedy,Drama,Fantasy,Romance",2006
Creepshow,"Horror,Comedy,Fantasy",1982
Cats & Dogs 2 : The Revenge of Kitty Galore,"Comedy,Family",2010
Jumper,"Adventure,Fantasy,Science Fiction",2008
Hellboy II: The Golden Army,"Adventure,Fantasy,Science Fiction",2008
Zodiac,"Crime,Drama,Mystery,Thriller",2007
Bruce Almighty,"Fantasy,Comedy",2003
The Expendables,"Thriller,Adventure,Action",2010
Mission: Impossible,"Adventure,Action,Thriller",1996
The Hunger Games,"Science Fiction,Adventure,Fantasy",2012
Batman Returns,"Action,Fantasy",1992
Over the Hedge,"Comedy,Animation,Family",2006
Lilo & Stitch,"Animation,Family",2002
Charlotte's Web,"Comedy,Family,Fantasy",2006
Deep Impact,"Action,Drama,Romance",1998
RED 2,"Action,Comedy,Crime,Thriller",2013
The Longest Yard,"Comedy,Drama",2005
Alvin and the Chipmunks: Chipwrecked,"Comedy,Fantasy,Family,Music,Animation",2011
Get Smart,"Action,Comedy,Thriller",2008
Something's Gotta Give,"Drama,Comedy,Romance",2003
Shutter Island,"Drama,Thriller,Mystery",2010
Four Christmases,"Comedy,Romance,Drama",2008
Robots,"Animation,Comedy,Family,Science Fiction",2005
Face/Off,"Action,Crime,Science Fiction,Thriller",1997
Bedtime Stories,"Fantasy,Comedy,Family,Romance",2008
Road to Perdition,"Thriller,Crime,Drama",2002
Just Go with It,"Romance,Comedy",2011
Con Air,"Action,Thriller,Crime",1997
Eagle Eye,"Mystery,Thriller,Action",2008
The Book of Eli,"Action,Thriller,Science Fiction",2010
Flubber,"Comedy,Family,Science Fiction",1997
The Haunting,"Horror,Thriller,Fantasy,Mystery",1999
Space Jam,"Animation,Comedy,Drama,Family,Fantasy",1996
The Pink Panther,"Action,Comedy,Crime,Mystery,Family",2006
The Day the Earth Stood Still,"Drama,Science Fiction,Thriller",2008
Conspiracy Theory,"Action,Drama,Mystery,Thriller",1997
Fury,"War,Drama,Action",2014
Six Days Seven Nights,"Action,Adventure,Comedy,Romance",1998
Yogi Bear,"Comedy,Family,Animation,Adventure",2010
Spirit: Stallion of the Cimarron,"Western,Animation,Adventure,Comedy,Family",2002
Zookeeper,"Comedy,Romance,Family",2011
Lost in Space,"Adventure,Family,Science Fiction",1998
The Manchurian Candidate,"Drama,Thriller,Mystery",2004
Déjà Vu,"Romance,Drama",1998
Hotel Transylvania 2,"Animation,Comedy,Family",2015
Fantasia 2000,"Animation,Family,Music",1999
The Time Machine,"Science Fiction,Adventure,Action",2002
Mighty Joe Young,"Action,Adventure,Family,Fantasy",1998
Swordfish,"Action,Crime,Thriller",2001
The Legend of Zorro,"Action,Adventure",2005
What Dreams May Come,"Drama,Fantasy,Romance",1998
Little Nicky,"Comedy,Fantasy,Romance",2000
The Brothers Grimm,"Adventure,Fantasy,Action,Comedy,Thriller",2005
Mars Attacks!,"Comedy,Fantasy,Science Fiction",1996
Evolution,"Mystery,Drama,Horror",2015
The Edge,"Action,Adventure,Drama",1997
Surrogates,"Action,Science Fiction,Thriller",2009
Thirteen Days,"Drama,Thriller",2000
Daylight,"Action,Adventure,Thriller",1996
Walking With Dinosaurs,"Animation,Family,Adventure",2013
Battlefield Earth,"Action,Science Fiction,War",2000
Looney Tunes: Back in Action,"Animation,Comedy,Family",2003
Nine,"Drama,Music,Romance",2009
Timeline,"Action,Adventure,Science Fiction",2003
The Postman,"Drama,Adventure",1997
Babe: Pig in the City,"Adventure,Comedy,Drama,Family,Fantasy",1998
The Last Witch Hunter,"Fantasy,Action,Adventure",2015
Red Planet,"Thriller,Action,Science Fiction",2000
Arthur and the Invisibles,"Adventure,Fantasy,Animation,Family",2006
Oceans,"Documentary,Family",2009
A Sound of Thunder,"Thriller,Science Fiction,Adventure,Action",2005
Pompeii,"Action,Adventure,History,Romance,Drama",2014
Top Cat Begins,"Comedy,Animation",2015
A Beautiful Mind,"Drama,Romance",2001
The Lion King,"Family,Animation,Drama",1994
Journey 2: The Mysterious Island,"Adventure,Action,Science Fiction",2012
Cloudy with a Chance of Meatballs 2,"Animation,Family,Comedy",2013
Red Dragon,"Crime,Thriller,Horror",2002
Hidalgo,"Western,Adventure",2004
2 Fast 2 Furious,"Action,Crime,Thriller",2003
The Little Prince,"Adventure,Animation,Fantasy",2015
The Invasion,"Science Fiction,Thriller",2007
The Adventures of Rocky & Bullwinkle,"Action,Adventure,Animation,Comedy,Family",2000
The Secret Life of Pets,"Animation,Family",2016
The League of Extraordinary Gentlemen,"Fantasy,Action,Thriller,Science Fiction",2003
Despicable Me 2,"Animation,Comedy,Family",2013
Independence Day,"Action,Adventure,Science Fiction",1996
The Lost World: Jurassic Park,"Adventure,Action,Science Fiction",1997
Madagascar,"Family,Animation",2005
Children of Men,"Drama,Action,Thriller,Science Fiction",2006
X-Men,"Adventure,Action,Science Fiction",2000
Wanted,"Action,Thriller,Crime",2008
The Rock,"Action,Adventure,Thriller",1996
Ice Age: The Meltdown,"Animation,Family,Comedy,Adventure",2006
50 First Dates,"Comedy,Romance",2004
Hairspray,"Family,Comedy,Music,Romance",2007
Exorcist: The Beginning,"Horror,Mystery,Thriller",2004
Inspector Gadget,"Action,Adventure,Comedy,Family",1999
Now You See Me,"Thriller,Crime",2013
The Terminal,"Comedy,Drama",2004
Hotel for Dogs,"Comedy,Family",2009
Vertical Limit,"Action,Adventure,Thriller",2000
Charlie Wilson's War,"Comedy,Drama,History",2007
Shark Tale,"Animation,Action,Comedy,Family",2004
Be Cool,"Comedy,Crime",2005
Munich,"Drama,Action,History,Thriller",2005
Tears of the Sun,"Action,Drama,War",2003
Killers,"Action,Comedy,Thriller,Romance",2010
The Man from U.N.C.L.E.,"Comedy,Action,Adventure",2015
Monster House,"Animation,Comedy,Family,Fantasy",2006
Bandits,"Action,Comedy,Crime,Romance",2001
First Knight,"Action,Adventure,Drama,Romance",1995
Anna and the King,"Drama,History,Romance",1999
Immortals,"Fantasy,Action,Drama",2011
Hostage,"Mystery,Drama,Thriller,Crime",2005
Titan A.E.,"Animation,Action,Science Fiction,Family,Adventure",2000
Hollywood Homicide,"Action,Adventure,Comedy,Thriller",2003
Soldier,"Action,War,Science Fiction",1998
Carriers,"Action,Drama,Horror,Science Fiction,Thriller",2009
Monkeybone,"Adventure,Fantasy,Animation,Action,Comedy",2001
Flight of the Phoenix,"Action,Adventure,Drama,Thriller",2004
Unbreakable,"Science Fiction,Thriller,Drama",2000
Minions,"Family,Animation,Adventure,Comedy",2015
Sucker Punch,"Action,Fantasy,Thriller",2011
Snake Eyes,"Crime,Mystery",1998
The Angry Birds Movie,"Family,Animation",2016
Fool's Gold,"Romance,Comedy,Adventure",2008
Funny People,"Comedy,Drama",2009
The Kingdom,"Thriller,Action,Drama",2007
Dr. Dolittle 2,"Comedy,Family,Romance,Fantasy",2001
Braveheart,"Action,Drama,History,War",1995
Jarhead,"Drama,War",2005
The Simpsons Movie,"Animation,Comedy,Family",2007
The Majestic,"Drama,Romance",2001
Two Brothers,"Adventure,Drama,Family",2004
The Village,"Drama,Mystery,Thriller",2004
Doctor Dolittle,"Comedy,Family,Fantasy",1998
Signs,"Drama,Thriller,Science Fiction,Mystery",2002
Shrek 2,"Adventure,Animation,Comedy,Family,Fantasy",2004
Cars,"Animation,Adventure,Comedy,Family",2006
Runaway Bride,"Comedy,Romance",1999
xXx,"Action,Adventure,Thriller",2002
The SpongeBob Movie: Sponge Out of Water,"Animation,Adventure,Comedy,Family",2015
Ransom,"Action,Thriller",1996
Inglourious Basterds,"Drama,Action,Thriller,War",2009
Hook,"Adventure,Fantasy,Comedy,Family",1991
Die Hard 2,"Action,Thriller",1990
S.W.A.T.,"Action,Thriller,Crime",2003
Vanilla Sky,"Drama,Mystery,Romance,Science Fiction,Thriller",2001
Lady in the Water,"Drama,Thriller,Fantasy,Mystery",2006
AVP: Alien vs. Predator,"Adventure,Science Fiction,Action",2004
Alvin and the Chipmunks: The Squeakquel,"Comedy,Family,Animation,Fantasy,Music",2009
We Were Soldiers,"Action,History,War",2002
Olympus Has Fallen,"Action,Thriller",2013
Star Trek: Insurrection,"Science Fiction,Action,Adventure,Thriller",1998
Battle: Los Angeles,"Action,Science Fiction",2011
Big Fish,"Adventure,Fantasy,Drama",2003
War Horse,"Drama,War",2011
The Monuments Men,"War,Drama,History,Action",2014
The Abyss,"Adventure,Action,Thriller,Science Fiction",1989
Wall Street: Money Never Sleeps,"Drama,Crime",2010
Dracula Untold,"Horror,Action,Drama,Fantasy,War",2014
The Siege,"Drama,Action,Thriller,Crime",1998
Stardust,"Adventure,Fantasy,Romance,Family",2007
Seven Years in Tibet,"Adventure,Drama,History",1997
The Dilemma,"Comedy,Drama",2011
Bad Company,"Action,Adventure,Comedy,Thriller",2002
Doom,"Adventure,Action,Horror",2005
I Spy,"Action,Adventure,Comedy,Thriller",2002
Underworld: Awakening,"Fantasy,Action,Horror",2012
Rock of Ages,"Comedy,Drama,Music,Romance",2012
Hart's War,"Drama,War",2002
Killer Elite,"Action,Adventure,Thriller",2011
Rollerball,"Action,Science Fiction,Thriller",2002
Ballistic: Ecks vs. Sever,"Action,Adventure,Thriller",2002
Osmosis Jones,"Adventure,Animation,Action,Comedy,Family",2001
Legends of Oz: Dorothy's Return,"Animation,Music,Family",2013
Blackhat,"Crime,Drama,Mystery",2015
Sky Captain and the World of Tomorrow,"Mystery,Action,Thriller,Science Fiction,Adventure",2004
Basic Instinct 2,"Crime,Mystery,Thriller",2006
Escape Plan,"Action,Thriller",2013
The Legend of Hercules,"Action,Adventure",2014
The Sum of All Fears,"Thriller,Action,Drama",2002
The Twilight Saga: Eclipse,"Adventure,Fantasy,Drama,Romance",2010
The Score,"Action,Crime,Thriller",2001
Despicable Me,"Animation,Family",2010
Money Train,"Action,Comedy,Crime",1995
Agora,"Adventure,Drama,History",2009
Mystery Men,"Adventure,Fantasy,Action,Comedy,Science Fiction",1999
The Insider,"Drama,Thriller",1999
The Finest Hours,"Action,Drama,History,Thriller",2016
Body of Lies,"Action,Drama,Thriller",2008
Abraham Lincoln: Vampire Hunter,"Action,Fantasy,Horror",2012
Entrapment,"Romance,Drama,Mystery",1999
The X Files,"Mystery,Science Fiction,Thriller",1998
The Last Legion,"Action,Adventure,Fantasy,War",2007
Saving Private Ryan,"Drama,History,War",1998
Need for Speed,"Action,Crime,Drama,Thriller",2014
What Women Want,"Comedy,Romance",2000
Ice Age,"Animation,Comedy,Family,Adventure",2002
Dreamcatcher,"Drama,Horror,Science Fiction,Thriller",2003
Lincoln,"History,Drama",2012
The Matrix,"Action,Science Fiction",1999
The Santa Clause 2,"Fantasy,Comedy,Family",2002
Les Misérables,"Drama,Music,Romance",2012
You've Got Mail,"Comedy,Romance",1998
The Mask of Zorro,"Action,Adventure",1998
Due Date,"Comedy,Drama",2010
Unbroken,"Drama,War",2014
Space Cowboys,"Action,Adventure,Thriller",2000
Cliffhanger,"Action,Adventure,Thriller",1993
Broken Arrow,"Action,Adventure,Drama,Thriller",1996
The Kid,"Fantasy,Comedy,Family",2000
World Trade Center,"Drama,History,Thriller",2006
Mona Lisa Smile,"Drama,Romance",2003
Eyes Wide Shut,"Mystery,Drama",1999
Annie,"Comedy,Drama,Family",2014
Focus,"Romance,Comedy,Crime,Drama",2015
This Means War,"Action,Comedy,Romance",2012
Blade: Trinity,"Science Fiction,Action,Horror,Thriller,Adventure,Fantasy",2004
Red Dawn,"Action,Thriller",1984
Primary Colors,"Comedy,Drama",1998
Resident Evil: Retribution,"Action,Horror,Science Fiction",2012
Death Race,"Action,Thriller,Science Fiction",2008
The Long Kiss Goodnight,"Crime,Action,Mystery,Thriller",1996
Proof of Life,"Action,Adventure,Drama,Romance,Thriller",2000
Zathura: A Space Adventure,"Family,Fantasy,Science Fiction,Adventure",2005
Hudson Hawk,"Action,Adventure,Comedy",1991
Lucky Numbers,"Action,Adventure,Comedy,Crime,Romance,Thriller",2000
"I, Frankenstein","Horror,Thriller",2014
Oliver Twist,"Crime,Drama,Family",2005
Elektra,"Action,Fantasy",2005
Sin City: A Dame to Kill For,"Crime,Thriller",2014
Random Hearts,"Drama,Romance",1999
Everest,"Adventure,Drama",2015
Perfume: The Story of a Murderer,"Crime,Fantasy,Drama",2006
Austin Powers in Goldmember,"Comedy,Crime,Science Fiction",2002
Astro Boy,"Animation,Action,Family,Science Fiction",2009
Jurassic Park,"Adventure,Science Fiction",1993
Wyatt Earp,"Drama,Action,Western",1994
Clear and Present Danger,"Action,Drama,Thriller",1994
Dragon Blade,"Action,Drama,Adventure",2015
Little Man,"Comedy,Crime",2006
U-571,"Action,Drama,Thriller,War",2000
The American President,"Comedy,Drama,Romance",1995
The Love Guru,"Comedy,Romance",2008
3000 Miles to Graceland,"Action,Adventure,Comedy,Thriller,Crime",2001
The Hateful Eight,"Crime,Drama,Mystery,Western",2015
Blades of Glory,"Action,Comedy,Drama",2007
Hop,"Animation,Comedy,Family",2011
300,"Action,Adventure,War",2006
Meet the Fockers,"Comedy,Romance",2004
Marley & Me,"Comedy,Family",2008
The Green Mile,"Fantasy,Drama,Crime",1999
Wild Hogs,"Action,Adventure,Comedy",2007
Chicken Little,"Animation,Family,Comedy",2005
Gone Girl,"Mystery,Thriller,Drama",2014
The Bourne Identity,"Action,Drama,Mystery,Thriller",2002
GoldenEye,"Adventure,Action,Thriller",1995
The General's Daughter,"Crime,Drama,Mystery,Thriller",1999
The Truman Show,"Comedy,Drama",1998
The Prince of Egypt,"Adventure,Animation,Drama,Family,Music",1998
Daddy Day Care,"Comedy,Family",2003
2 Guns,"Action,Comedy,Crime",2013
Cats & Dogs,"Comedy,Family",2001
The Italian Job,"Action,Crime",2003
Two Weeks Notice,"Romance,Comedy",2002
Antz,"Adventure,Animation,Comedy,Family",1998
Couples Retreat,"Comedy,Romance",2009
The Family Man,"Comedy,Drama,Romance,Fantasy",2000
RED,"Action,Adventure,Comedy,Crime,Thriller",2010
The Horse Whisperer,"Drama,Romance",1998
Collateral,"Drama,Crime,Thriller",2004
The Scorpion King,"Action,Fantasy,Adventure",2002
Ladder 49,"Drama,Action,Thriller",2004
Jack Reacher,"Crime,Drama,Thriller",2012
Deep Blue Sea,"Action,Science Fiction,Thriller",1999
This Is It,"Music,Documentary",2009
Contagion,"Drama,Thriller,Science Fiction",2011
Kangaroo Jack,"Comedy,Adventure,Crime",2003
Coraline,"Animation,Family",2009
The Happening,"Thriller,Science Fiction",2008
Man on Fire,"Action,Drama,Thriller,Crime",2004
The Shaggy Dog,"Comedy,Family",2006
Starsky & Hutch,"Comedy,Crime",2004
Jingle All the Way,"Family,Comedy",1996
Hellboy,"Fantasy,Action,Science Fiction",2004
ParaNorman,"Family,Animation,Adventure,Comedy",2012
The Jackal,"Action,Thriller,Adventure,Crime",1997
Paycheck,"Action,Adventure,Mystery,Science Fiction,Thriller",2003
Up Close & Personal,"Drama,Romance",1996
The Tale of Despereaux,"Adventure,Animation,Family",2008
The Tuxedo,"Thriller,Action,Comedy,Science Fiction",2002
Under Siege 2: Dark Territory,"Action,Thriller",1995
Jack Ryan: Shadow Recruit,"Action,Drama,Thriller",2014
Joy,"Drama,Comedy",2015
London Has Fallen,"Action,Crime,Thriller",2016
Alien: Resurrection,"Science Fiction,Horror,Action",1997
Shooter,"Action,Drama,Mystery,Thriller,Crime",2007
The Boxtrolls,"Animation,Comedy,Family,Fantasy",2014
Practical Magic,"Drama,Fantasy,Comedy",1998
The Lego Movie,"Adventure,Animation,Comedy,Family,Fantasy",2014
Miss Congeniality 2: Armed and Fabulous,"Action,Comedy",2005
Reign of Fire,"Adventure,Action,Fantasy",2002
Gangster Squad,"Crime,Drama,Action,Thriller",2013
Year One,"Comedy,Adventure",2009
Invictus,"Drama,History",2009
Duplicity,"Romance,Comedy,Crime",2009
My Favorite Martian,"Comedy,Drama,Family,Science Fiction",1999
The Sentinel,"Action,Thriller,Crime",2006
Planet 51,"Science Fiction,Animation,Family,Comedy,Adventure",2009
Star Trek: Nemesis,"Science Fiction,Action,Adventure,Thriller",2002
Intolerable Cruelty,"Crime,Comedy,Romance",2003
Trouble with the Curve,"Drama,Romance",2012
Edge of Darkness,"Crime,Drama,Mystery,Thriller",2010
The Relic,"Horror,Mystery,Thriller",1997
Analyze That,"Comedy,Crime",2002
Righteous Kill,"Action,Crime,Drama,Thriller",2008
Mercury Rising,"Action,Crime,Drama,Thriller",1998
The Legend of Bagger Vance,"Fantasy,Drama",2000
Almost Famous,"Drama,Music",2000
Garfield: A Tail of Two Kitties,"Animation,Comedy,Family",2006
xXx: State of the Union,"Action,Adventure,Crime,Drama,Mystery,Thriller",2005
Priest,"Action,Science Fiction,Fantasy,Thriller,Horror",2011
Sinbad: Legend of the Seven Seas,"Family,Animation,Adventure",2003
Event Horizon,"Horror,Science Fiction,Mystery",1997
Flyboys,"Action,Adventure,Drama,History,Romance,War",2006
The Last Castle,"Action,Drama,Thriller",2001
Supernova,"Horror,Science Fiction,Thriller",2000
Winter's Tale,"Drama,Fantasy,Mystery,Romance",2014
The Mortal Instruments: City of Bones,"Action,Adventure,Drama,Mystery,Romance,Fantasy",2013
Meet Dave,"Comedy,Science Fiction,Adventure,Family",2008
Dark Water,"Drama,Horror,Thriller",2005
Inkheart,"Adventure,Family,Fantasy",2008
The Spirit,"Action,Comedy,Thriller,Crime,Science Fiction",2008
Mortdecai,"Comedy,Adventure",2015
In the Name of the King: A Dungeon Siege Tale,"Adventure,Fantasy,Action,Drama",2007
Beyond Borders,"Drama,Romance,Adventure,War",2003
The Monkey King 2,"Action,Adventure,Fantasy",2016
The Great Raid,"Action,History,War",2005
Deadpool,"Action,Adventure,Comedy",2016
Holy Man,"Drama,Comedy",1998
American Sniper,"War,Action",2014
Goosebumps,"Adventure,Horror,Comedy",2015
Just Like Heaven,"Comedy,Fantasy,Romance",2005
The Flintstones in Viva Rock Vegas,"Science Fiction,Comedy,Family,Romance",2000
Rambo III,"Action,Adventure,Thriller,War",1988
Leatherheads,"Comedy,Romance,Drama",2008
The Ridiculous 6,"Comedy,Western",2015
Resident Evil: Afterlife,"Action,Adventure,Horror,Science Fiction",2010
Red Tails,"Drama,Action,Adventure,History,War",2012
The Devil's Advocate,"Drama,Horror,Mystery,Thriller",1997
After the Sunset,"Action,Comedy,Crime,Drama",2004
Ghost Rider: Spirit of Vengeance,"Action,Fantasy,Thriller",2011
Captain Corelli's Mandolin,"Drama,History,Romance",2001
The Pacifier,"Action,Comedy,Drama,Family,Thriller",2005
Walking Tall,"Adventure,Drama,Action,Thriller",2004
Forrest Gump,"Comedy,Drama,Romance",1994
Alvin and the Chipmunks,"Comedy,Music,Family,Fantasy,Animation",2007
Meet the Parents,"Comedy,Romance",2000
Pocahontas,"Adventure,Animation,Drama,Family",1995
Superman,"Action,Adventure,Fantasy,Science Fiction",1978
The Nutty Professor,"Fantasy,Comedy,Romance,Science Fiction",1996
Hitch,"Comedy,Drama,Romance",2005
George of the Jungle,"Adventure,Comedy,Family,Romance",1997
American Wedding,"Comedy,Romance",2003
Captain Phillips,"Action,Drama,Thriller",2013
Casper,"Fantasy,Comedy,Family",1995
The Equalizer,"Thriller,Action,Crime",2014
Maid in Manhattan,"Comedy,Drama,Romance",2002
Crimson Tide,"Action,Thriller,Drama",1995
Flightplan,"Thriller,Drama,Mystery",2005
Disclosure,"Drama,Thriller,Crime,Mystery,Romance",1994
City of Angels,"Drama,Fantasy,Romance",1998
Kill Bill: Vol. 1,"Action,Crime",2003
Kill Bill: Vol. 2,"Action,Crime,Thriller",2004
Tango & Cash,"Action,Adventure,Comedy",1989
Death Becomes Her,"Fantasy,Comedy",1992
Shanghai Noon,"Adventure,Action,Comedy,Western",2000
Executive Decision,"Action,Adventure,Drama,Thriller",1996
Mr. Popper's Penguins,"Comedy,Family",2011
The Forbidden Kingdom,"Action,Adventure,Fantasy",2008
Free Birds,"Animation,Comedy,Family",2013
Alien³,"Science Fiction,Action,Horror",1992
Evita,"History,Drama,Music",1996
Ronin,"Action,Thriller,Crime,Adventure",1998
Paddington,"Family,Comedy",2014
The Hunted,"Drama,Action,Thriller,Crime",2003
Instinct,"Drama,Mystery,Thriller",1999
The Pirates! In an Adventure with Scientists!,"Animation,Adventure,Family,Comedy",2012
Changeling,"Crime,Drama,Mystery",2008
Chain Reaction,"Action,Drama,Science Fiction,Thriller",1996
The Fan,"Drama,Mystery,Thriller",1996
The Phantom of the Opera,"Thriller,Drama,Romance",2004
Elizabeth: The Golden Age,"Drama,History,Romance",2007
Æon Flux,"Action,Science Fiction",2005
Gods and Generals,"Drama,History,War",2003
Turbulence,"Action,Thriller,Crime",1997
Muppets Most Wanted,"Comedy,Adventure,Crime,Family",2014
Thunderbirds,"Action,Adventure,Comedy,Family,Fantasy,Science Fiction",2004
Burlesque,"Drama,Romance",2010
Lolita,"Drama,Romance",1962
D-Tox,"Action,Thriller",2002
Blade II,"Fantasy,Horror,Action,Thriller",2002
Bullet to the Head,"Action,Crime,Thriller",2013
The Godfather: Part III,"Crime,Drama,Thriller",1990
Elizabethtown,"Comedy,Drama,Romance",2005
"You, Me and Dupree","Comedy,Romance",2006
Superman II,"Action,Adventure,Fantasy,Science Fiction",1980
All the King's Men,"Drama,Thriller",2006
Shaft,"Action,Adventure,Crime,Thriller",2000
Anastasia,"Animation,Family",1997
Moulin Rouge!,"Drama,Music,Romance",2001
Domestic Disturbance,"Mystery,Thriller,Crime",2001
Black Mass,"Crime,Drama",2015
Flags of Our Fathers,"War,Drama,History",2006
Law Abiding Citizen,"Drama,Crime,Thriller",2009
Grindhouse,"Thriller,Action,Horror",2007
Beloved,"Drama,Thriller",1998
Lucky You,"Drama,Romance",2007
Catch Me If You Can,"Drama,Crime",2002
Zero Dark Thirty,"Thriller,Drama,History",2012
The Break-Up,"Romance,Comedy",2006
Mamma Mia!,"Comedy,Romance",2008
Valentine's Day,"Comedy,Romance",2010
The Dukes of Hazzard,"Action,Adventure,Comedy",2005
The Thin Red Line,"Drama,History,War",1998
Man on the Moon,"Comedy,Drama,Romance",1999
Casino,"Drama,Crime",1995
From Paris with Love,"Action,Crime,Thriller",2010
Bulletproof Monk,"Action,Comedy,Fantasy",2003
Barnyard,"Animation,Comedy,Family",2006
Deck the Halls,"Comedy,Family",2006
The Twilight Saga: New Moon,"Adventure,Fantasy,Drama,Romance",2009
Shrek,"Adventure,Animation,Comedy,Family,Fantasy",2001
The Adjustment Bureau,"Science Fiction,Thriller,Romance",2011
Jerry Maguire,"Comedy,Drama,Romance",1996
Ted,"Comedy,Fantasy",2012
As Good as It Gets,"Comedy,Romance",1997
Patch Adams,"Comedy,Drama",1998
Mr. Deeds,"Comedy,Romance",2002
Super 8,"Thriller,Science Fiction,Mystery",2011
How to Lose a Guy in 10 Days,"Comedy,Romance",2003
22 Jump Street,"Crime,Comedy,Action",2014
Interview with the Vampire,"Horror,Romance",1994
Central Intelligence,"Action,Comedy",2016
Stepmom,"Drama,Romance",1998
Into the Woods,"Fantasy,Comedy,Music",2014
Inside Man,"Crime,Drama,Thriller",2006
Payback,"Drama,Action,Thriller,Crime",1999
Congo,"Action,Adventure,Drama,Mystery,Science Fiction,Thriller",1995
We Bought a Zoo,"Drama,Comedy,Family",2011
Knowing,"Action,Adventure,Drama,Mystery,Science Fiction,Thriller",2009
The Ring Two,"Drama,Horror,Thriller",2005
"Crazy, Stupid, Love.","Comedy,Drama,Romance",2011
Garfield,"Animation,Comedy,Family",2004
Christmas with the Kranks,"Comedy,Family",2004
Outbreak,"Action,Drama,Science Fiction,Thriller",1995
Non-Stop,"Action,Thriller,Mystery",2014
Race to Witch Mountain,"Adventure,Family,Fantasy,Science Fiction,Thriller,Action",2009
V for Vendetta,"Action,Thriller,Fantasy",2006
Shanghai Knights,"Action,Adventure,Comedy,Western",2003
Curious George,"Adventure,Animation,Comedy,Family",2006
Herbie Fully Loaded,"Comedy,Family,Adventure,Fantasy,Romance",2005
Hansel & Gretel: Witch Hunters,"Fantasy,Horror,Action",2013
Unfaithful,"Thriller,Drama",2002
I Am Number Four,"Action,Thriller,Science Fiction,Adventure",2011
Syriana,"Drama,Thriller",2005
13 Hours: The Secret Soldiers of Benghazi,"Action,Drama,History,Thriller,War",2016
The Book of Life,"Romance,Animation,Adventure,Comedy,Family,Fantasy",2014
Absolute Power,"Crime,Drama,Thriller",1997
G.I. Jane,"Action,Drama",1997
The Game,"Drama,Thriller,Mystery",1997
Silent Hill,"Horror,Mystery",2006
The Negotiator,"Action,Adventure,Crime,Drama,Mystery,Thriller",1998
Into the Storm,"Action,Thriller",2014
Beverly Hills Cop III,"Action,Comedy,Crime",1994
Gremlins 2: The New Batch,"Comedy,Horror,Fantasy",1990
The Peacemaker,"Action,Thriller",1997
Resident Evil: Apocalypse,"Horror,Action,Science Fiction",2004
Bridget Jones: The Edge of Reason,"Comedy,Romance",2004
Out of Time,"Thriller,Crime,Drama",2003
On Deadly Ground,"Action,Thriller",1994
The Adventures of Sharkboy and Lavagirl,"Adventure,Family,Science Fiction",2005
The Beach,"Drama,Adventure,Romance,Thriller",2000
Raising Helen,"Drama,Comedy,Romance",2004
Ninja Assassin,"Action,Crime,Thriller",2009
For Love of the Game,"Drama,Romance",1999
Striptease,"Drama,Thriller,Crime",1996
Marmaduke,"Family,Comedy",2010
Hereafter,"Drama,Fantasy",2010
Murder by Numbers,"Crime,Drama,Thriller",2002
Assassins,"Action,Adventure,Crime,Thriller",1995
Hannibal Rising,"Crime,Drama,Thriller",2007
The Story of Us,"Comedy,Drama,Romance",1999
The Host,"Action,Adventure,Romance,Science Fiction,Thriller",2013
Basic,"Action,Drama,Mystery,Thriller,Crime",2003
Blood Work,"Crime,Drama,Mystery,Thriller",2002
The International,"Drama,Thriller,Crime",2009
Escape from L.A.,"Action,Adventure,Science Fiction,Thriller",1996
The Iron Giant,"Adventure,Animation,Family,Fantasy,Science Fiction",1999
The Life Aquatic with Steve Zissou,"Adventure,Comedy,Drama",2004
Free State of Jones,"War,Action,Drama,History,Thriller",2016
The Life of David Gale,"Drama,Thriller,Crime",2003
Man of the House,"Comedy,Action",2005
Run All Night,"Action,Crime,Drama,Mystery,Thriller",2015
Eastern Promises,"Thriller,Crime,Mystery",2007
Into the Blue,"Action,Thriller,Adventure,Crime",2005
The Messenger: The Story of Joan of Arc,"Adventure,Drama,Action,History,War",1999
Dream House,"Drama,Thriller,Mystery",2011
Mad City,"Action,Drama,Thriller",1997
Baby's Day Out,"Action,Adventure,Comedy,Family",1994
The Scarlet Letter,"Drama,History,Romance",1995
Fair Game,"Drama,Thriller",2010
Domino,"Action,Crime",2005
Jade,"Action,Thriller,Mystery,Romance",1995
Gamer,"Action,Thriller,Science Fiction",2009
Beautiful Creatures,"Fantasy,Drama,Romance",2013
Death to Smoochy,"Comedy,Crime,Drama,Thriller",2002
The Big Bounce,"Comedy,Crime",2004
